parcela;rendimiento;dias;variedad
1;7.7;24;SL
2;5.4;31;SL
3;5.2;26;SL
4;4;30;SL
5;9.6;33;LAN
6;7.8;33;LAN
7;9.6;32;LAN
8;7.7;36;LAN
9;8.2;33;LAN
10;7.3;38;LAN
11;11.3;30;LAN
12;9.5;38;LAN
13;8.8;31;LAN
14;8.4;32;LAN
15;6.8;32;LAN
16;4.8;31;OST
17;9.2;33;OST
18;8.5;33;OST
19;8.8;33;OST
20;9.2;27;OST
21;7.9;32;OST
22;5.9;36;OST
